Stream,D84,D50,S,Q,h,w,V,V_pred,D_mob,V_adj,h_calc,w_adj,Di_D50,tau_g_star
Fourth of July Creek,0.11,0.0515,0.02,0.3398016,0.211175012415524,5.83311396231241,0.2753208764179,0.805842301655595,0.0021,1.34826415685943,0.050241902710684,5.01631184811222,0.040776699029126,0.289996552442622
Fourth of July Creek,0.11,0.0515,0.02,0.3398016,0.211175012415524,5.83311396231241,0.2753208764179,0.805842301655595,0.0025,1.32442050942613,0.051094319478067,5.02142425757158,0.048543689320388,0.247730033833053
Fourth of July Creek,0.11,0.0515,0.02,0.44174208,0.229050257630769,6.05294146458828,0.31805921821726,0.891211398129486,0.0032,1.42840892105517,0.060871653124506,5.08043823102195,0.062135922330097,0.23057444365343
Fourth of July Creek,0.11,0.0515,0.02,0.44174208,0.229050257630769,6.05294146458828,0.31805921821726,0.891211398129486,0.004,1.39600913821449,0.062186506593296,5.08842714370554,0.077669902912621,0.188443959373623
Fourth of July Creek,0.11,0.0515,0.02,0.6796032,0.261740855786039,6.43199489090862,0.40309335695866,1.04679995005885,0.0027,1.71314878161278,0.07662709025351,5.17699758373053,0.05242718446602,0.344004894516319
Fourth of July Creek,0.11,0.0515,0.02,0.6796032,0.261740855786039,6.43199489090862,0.40309335695866,1.04679995005885,0.0029,1.70052715610578,0.077147814550855,5.18022005341529,0.056310679611651,0.322456905123742
Fourth of July Creek,0.11,0.0515,0.02,0.79570208,0.274842850269475,6.57663132619401,0.439620498089134,1.10872894901071,0.0095,1.59545338476031,0.094320447313373,5.28762313938925,0.184466019417476,0.120345068342422
Fourth of July Creek,0.11,0.0515,0.02,0.79570208,0.274842850269475,6.57663132619401,0.439620498089134,1.10872894901071,0.0032,1.78666974108337,0.085153536416916,5.23001619355116,0.062135922330097,0.3225512743065
Fourth of July Creek,0.11,0.0515,0.02,0.79570208,0.274842850269475,6.57663132619401,0.439620498089134,1.10872894901071,0.0068,1.65199949615847,0.091409401376174,5.26926104196008,0.132038834951456,0.162940109404944
Fourth of July Creek,0.11,0.0515,0.02,0.90330592,0.28585386657304,6.69530540414902,0.471383453346492,1.16051315029095,0.0031,1.88019098350849,0.091199433962604,5.26793909194363,0.060194174757282,0.356596027224256
Fourth of July Creek,0.11,0.0515,0.02,0.90330592,0.28585386657304,6.69530540414902,0.471383453346492,1.16051315029095,0.0022,1.94848082937876,0.088307714911549,5.24976659570564,0.042718446601942,0.486543883810187
Fourth of July Creek,0.11,0.0515,0.02,0.69942496,0.264081721800688,6.45812097555145,0.409517798942818,1.05788700347228,0.0035,1.68598722290084,0.079826520679061,5.19682878516234,0.067961165048544,0.276455482871208
Fourth of July Creek,0.11,0.0515,0.02,0.69942496,0.264081721800688,6.45812097555145,0.409517798942818,1.05788700347228,0.0042,1.65442785039649,0.081214362935607,5.20545472853855,0.081553398058253,0.234384885817048
