Stream,S,D50,Q,V,h,w,D,gs_ratio,V_adj,h_adj,Di_D50,tau_g_star
Cherry,0.0252,0.051,1.51434669711797,0.540003217455599,0.336685096191464,8.35940443896299,0.004,2.6143271468546176,2.85708790975842,0.15309861608072198,0.07843137254901962,0.5470179076645647
Cherry,0.0252,0.051,2.20155412259459,0.6535418661840879,0.3735941082746701,9.00225145632382,0.008,2.3828915629091934,2.812905665442108,0.17785910820830245,0.15686274509803924,0.31774329423034514
Cherry,0.0252,0.051,3.84809931313962,0.8688744681088739,0.436334666050505,10.0547085625795,0.0226,2.1355551871196075,2.802167408115765,0.22926570128943236,0.44313725490196076,0.14498428104894615
Cherry,0.0252,0.051,4.068735427560839,0.8939346197763349,0.44315023296294,10.166318144126901,0.045,1.7884463029902284,2.6066201810259386,0.24433777821324365,0.8823529411764706,0.07760118927740049
Cherry,0.0252,0.051,4.4712434743746,0.9379936100599598,0.4549255486162779,10.3579910732622,0.045,1.8537661758744293,2.6697081397595155,0.2532617881692665,0.8823529411764706,0.08043543697652769
Cherry,0.0252,0.051,4.412458830058419,0.931683870099346,0.4532548709109779,10.3308842851006,0.032,2.0337074242130297,2.7759733779454203,0.24659331665959655,0.627450980392157,0.11013404593095409
Cherry,0.0252,0.051,4.12495605190943,0.9002130266336,0.444844092260131,10.1939794014124,0.045,1.7977526755918056,2.6156549090142582,0.2456092161093057,0.8823529411764706,0.07800499540819317
Cherry,0.0252,0.051,4.23867544184363,0.91278568477707,0.448220009233555,10.249018984140099,0.0226,2.213619071721649,2.8700456427753287,0.2376463656509112,0.44313725490196076,0.1502840907907775
Cherry,0.0252,0.051,4.18160252351119,0.906496724248284,0.44653400663082493,10.221546048903301,0.064,1.6335897250819829,2.5121967105113865,0.2524621750141593,1.254901960784314,0.056377604136814974
Cherry,0.0252,0.051,3.95756930848901,0.8813937913131159,0.43975054450600093,10.110708138698,0.032,1.9521305786698853,2.7012341011685157,0.2367018717715022,0.627450980392157,0.10571630720070012
Cherry,0.0252,0.051,2.2821821122183,0.665641036919463,0.377348508108338,9.06659223442794,0.008,2.4109047358599316,2.8349082954982663,0.1799500124007788,0.15686274509803924,0.32147867102791344
Cherry,0.0252,0.051,2.32309667728466,0.6717006238089479,0.37921714092233705,9.098547094119713,0.004,2.9773907391951697,3.1158332236389117,0.17436012254654798,0.07843137254901962,0.6229847914840798
Cherry,0.0252,0.051,1.95050820515929,0.614407920376179,0.361228774721826,8.78901055290629,0.0056,2.549388955375569,2.873312865057739,0.16795473222393542,0.10980392156862746,0.42864176864490605
Cherry,0.0252,0.051,1.96922544920992,0.617407799154491,0.36218910899346,8.80564600090166,0.004,2.8270318792167015,3.0100297331382877,0.1655548996019466,0.07843137254901962,0.5915239281857709
Cherry,0.0252,0.051,2.12252270095001,0.641469678069908,0.369816433797231,8.93732372810729,0.004,2.8935720553605124,3.057077974373708,0.16945158441189534,0.07843137254901962,0.6054466952631857
Cherry,0.0252,0.051,2.16183921455039,0.6475023755521221,0.3717082131690109,8.9698618954844,0.0056,2.6332632687120747,2.9359931514358832,0.1734804044863792,0.10980392156862746,0.442743984760901
Cherry,0.0252,0.051,2.7770697039562497,0.7357168370351508,0.398509225452868,9.425858322945679,0.016,2.100756008579661,2.7085574855810393,0.19985174457427365,0.3137254901960785,0.17851644573732037
Cherry,0.0252,0.051,3.03280142868894,0.769523460511325,0.408388853534426,9.59170542347609,0.008,2.652278578764439,3.021099807317181,0.1979661643365362,0.15686274509803924,0.35366432361039246
East Dallas,0.0117,0.058,0.6750316823524749,0.6954164518323879,0.124553451130704,8.02817101520983,0.008,0.4474082206386853,1.1082280080396751,0.07819843306074126,0.13793103448275862,0.06486100223428455
East Dallas,0.0117,0.058,0.698540903274152,0.7052461297665301,0.126877413090665,8.03785111884536,0.008,0.4563254414908237,1.122904797253338,0.07975699337708582,0.13793103448275862,0.06615373637490564
East Dallas,0.0117,0.058,0.7162087961055,0.7125056511267241,0.128600344530863,8.0449213119745,0.008,0.4629439510634155,1.133736402495764,0.08091378275622459,0.13793103448275862,0.0671132251468435
East Dallas,0.0117,0.058,0.7458324347674571,0.724444259812183,0.131445887940903,8.05640661634939,0.008,0.4738886018115645,1.1515354814255243,0.08282669919231637,0.13793103448275862,0.0686998768530097
East Dallas,0.0117,0.058,0.777892702635082,0.737053703032393,0.13446750830722098,8.06835090781124,0.008,0.4855288395370751,1.1703160731149425,0.0848611909799059,0.13793103448275862,0.0703873681647343
East Dallas,0.0117,0.058,0.7890366488699799,0.74136469186719,0.135504337017169,8.07239166803326,0.008,0.4895273165676291,1.1767325577494916,0.0855600485868858,0.13793103448275862,0.07096702945759628
East Dallas,0.0117,0.058,0.791834746186505,0.742441473599434,0.13576361093900802,8.07339760014028,0.008,0.49052753199118704,1.178334900212117,0.08573486718707549,0.13793103448275862,0.0711120312072949
East Dallas,0.0117,0.058,0.822933408490957,0.754260875600665,0.138617370234302,8.08435250775039,0.008,0.5015455101876523,1.1959142665079172,0.08766059986411717,0.13793103448275862,0.07270931323174691
East Dallas,0.0117,0.058,0.868236232584223,0.7710163679322819,0.142687257198367,8.09961655108666,0.0113,0.4738620303152471,1.1783120521685404,0.09346348311441698,0.19482758620689652,0.05488316013036686
East Dallas,0.0117,0.058,0.887873957099268,0.778119137501553,0.144421028101607,8.10599574185204,0.0113,0.48001418310165,1.18848879726039,0.09467691991940164,0.19482758620689652,0.055595708435404095
East Dallas,0.0117,0.058,0.791834746186505,0.742441473599434,0.13576361093900802,8.07339760014028,0.0056,0.5370237070838247,1.2222554719730423,0.08284606083973797,0.09655172413793103,0.09816562314442918
East Dallas,0.0117,0.058,0.7890366488699799,0.74136469186719,0.135504337017169,8.07239166803326,0.0056,0.5359287790536476,1.2205935503636356,0.0826771474882292,0.09655172413793103,0.0979654750113713
East Dallas,0.0117,0.058,0.785313387508077,0.7399283833103091,0.13515867992136302,8.07104778408613,0.0113,0.4472097105732035,1.1337044795213955,0.08820663939871913,0.19482758620689652,0.051796262597607855
East Dallas,0.0117,0.058,0.785313387508077,0.7399283833103091,0.13515867992136302,8.07104778408613,0.0056,0.5344692800085508,1.218376508664309,0.0824519921643754,0.09655172413793103,0.09769868486532984
East Dallas,0.0117,0.058,0.7946376870515759,0.743517870813902,0.13602291146747802,8.074401840951769,0.0056,0.5381188950221102,1.2239166585740164,0.0830150142869868,0.09655172413793103,0.09836581878757102
East Dallas,0.0117,0.058,0.791834746186505,0.742441473599434,0.13576361093900802,8.07339760014028,0.008,0.49052753199118704,1.178334900212117,0.08573486718707549,0.13793103448275862,0.0711120312072949
East Dallas,0.0117,0.058,0.858497926312188,0.767458939546919,0.141820795174209,8.096401310629059,0.008,0.5139326100224945,1.2155251031973338,0.08982562891939215,0.13793103448275862,0.07450507753155589
East Dallas,0.0117,0.058,0.855586909557011,0.766390919395313,0.141560911941638,8.09543336372818,0.0056,0.5615440932090552,1.2591832182934302,0.08662879403000219,0.09655172413793103,0.1026478442307127
East Dallas,0.0117,0.058,0.855586909557011,0.766390919395313,0.141560911941638,8.09543336372818,0.0056,0.5615440932090552,1.2591832182934302,0.08662879403000219,0.09655172413793103,0.1026478442307127
East Dallas,0.0117,0.058,0.8809763228175259,0.7756349917517992,0.143814080377152,8.10377073829398,0.008,0.5216503305282476,1.2276638660205728,0.09117453942776216,0.13793103448275862,0.07562391948366094
East Dallas,0.0117,0.058,0.971663989221996,0.807427730179014,0.151628004324537,8.1317678538232,0.008,0.5519769329770041,1.274795244764844,0.09647505176113733,0.13793103448275862,0.08002038279937539
East Dallas,0.0117,0.058,1.02392177323057,0.8249572347393771,0.155978514907592,8.14677637830615,0.008,0.5689101387727842,1.300735313981651,0.09943465352713708,0.13793103448275862,0.08247519844265042
East Dallas,0.0117,0.058,1.0313446586501098,0.827404015500657,0.156588111218571,8.1488480464304,0.0113,0.5233324547007333,1.258956791280571,0.10322091856696827,0.19482758620689652,0.060612872682899444
East Dallas,0.0117,0.058,1.03879376182382,0.8298490153790999,0.1571978350643,8.15091262001798,0.0113,0.5255097010191317,1.2624461753772465,0.10365035374323717,0.19482758620689652,0.06086504346403677
East Dallas,0.0117,0.058,1.06345392961541,0.837870144180619,0.15920210590725198,8.1576468866188,0.0113,0.5326709159187046,1.2738893369829627,0.10506281569423936,0.19482758620689652,0.061694462322095
East Dallas,0.0117,0.058,1.07751741349852,0.8423954616942281,0.160335555740887,8.161420229719381,0.0113,0.5367235503429911,1.2803424563571095,0.10586214821056532,0.19482758620689652,0.06216384237330945
East Dallas,0.0117,0.058,1.11031634336012,0.85281575872257,0.16295284843151506,8.17003900401755,0.0113,0.5460894097932787,1.2951941738676458,0.10770944930367378,0.19482758620689652,0.06324860530235585
East Dallas,0.0117,0.058,1.09276373145806,0.8472621944199,0.161556675592738,8.165457631017151,0.008,0.5906706261671031,1.3336956403095483,0.10323797214842803,0.13793103448275862,0.0856298276076828
East Dallas,0.0117,0.058,1.1070148104928,0.851775145460235,0.162691016894935,8.16918263802171,0.008,0.5951029663197478,1.3403592798302004,0.10401266076330022,0.13793103448275862,0.08627238626280408
East Dallas,0.0117,0.058,1.11031634336012,0.85281575872257,0.16295284843151506,8.17003900401755,0.0113,0.5460894097932787,1.2951941738676458,0.10770944930367378,0.19482758620689652,0.06324860530235585
East Dallas,0.0117,0.058,1.11031634336012,0.85281575872257,0.16295284843151506,8.17003900401755,0.008,0.5961261849982743,1.341895247002916,0.1041914998942063,0.13793103448275862,0.08642072280632876
East Dallas,0.0117,0.058,1.10371808564537,0.8507342189683009,0.162429207997174,8.16832505688871,0.008,0.5940799540487159,1.3388227421994496,0.1038338577084918,0.13793103448275862,0.08612407964228115
East Dallas,0.0117,0.058,1.09276373145806,0.8472621944199,0.161556675592738,8.165457631017151,0.0113,0.5410919279011931,1.2872801802069676,0.10672375719383156,0.19482758620689652,0.0626697921006535
East Dallas,0.0117,0.058,1.08839695166986,0.8458724035491211,0.161207733435933,8.164306839121751,0.016,0.4942279594848371,1.2402617656415171,0.11009862632308368,0.27586206896551724,0.045660168422980284
East Dallas,0.0117,0.058,1.09932993220219,0.849345828743702,0.162080164739066,8.16717971897225,0.0113,0.5429653541302268,1.2902497741409644,0.107093267577702,0.19482758620689652,0.0628867741442498
East Dallas,0.0117,0.058,1.11031634336012,0.85281575872257,0.16295284843151506,8.17003900401755,0.0113,0.5460894097932787,1.2951941738676458,0.10770944930367378,0.19482758620689652,0.06324860530235585
