Stream,S,D84,D50,Q,h,w,tau,D,Fi,Qsi t/day,qsi,excess_grain_stress,gs_ratio,V_adj,h_adj,Wi_star,Unnamed: 0
Fourth of July Creek,0.018,0.13,0.0515,0.339802,0.2111750894026539,5.83769505061335,41.43255254080071,0.0005,0.01,0.07992,0.0136903348508419,4.73172685286847,0.7762483218835103,1.5121166552979908,0.045111506991157,0.0356186111186885,
Fourth of July Creek,0.018,0.13,0.0515,0.339802,0.2111750894026539,5.83769505061335,41.43255254080071,0.002,0.01,0.00332,0.000568717613924,0.149994677984191,0.5463515651396738,1.3123116206235337,0.0515798232430557,0.0014796520134393,
Fourth of July Creek,0.018,0.13,0.0515,0.339802,0.2111750894026539,5.83769505061335,41.43255254080071,0.0005,0.01,0.41216,0.0706032083598979,4.73172685286847,0.7762483218835103,1.5121166552979908,0.045111506991157,0.1836907752587436,
Fourth of July Creek,0.018,0.13,0.0515,0.4417428,0.229050373251436,6.0561064659834,44.9396832319318,0.002,0.01,0.00171,0.0002823596331409,0.196422664540477,0.635641586275905,1.4516560064104085,0.0600094934434113,0.0006503288843475,
Fourth of July Creek,0.018,0.13,0.0515,0.4417428,0.229050373251436,6.0561064659834,44.9396832319318,0.0005,0.01,0.03466,0.005723149055368,5.7006459237297324,0.9037715257985344,1.673493193565745,0.0525224910058968,0.0131815199599551,
Fourth of July Creek,0.018,0.13,0.0515,0.4417428,0.229050373251436,6.0561064659834,44.9396832319318,0.002,0.01,0.00454,0.000749656569861,0.196422664540477,0.635641586275905,1.4516560064104085,0.0600094934434113,0.0017266041724819,
Fourth of July Creek,0.018,0.13,0.0515,0.4417428,0.229050373251436,6.0561064659834,44.9396832319318,0.0005,0.01,0.10613,0.017524460739936,5.7006459237297324,0.9037715257985344,1.673493193565745,0.0525224910058968,0.0403622248514133,
Fourth of July Creek,0.018,0.13,0.0515,0.679604,0.261740951207732,6.43258604119842,51.353574626957,0.002,0.01,0.0004799999999999,7.46200667858574e-05,0.2888394609278319,0.8132834844211109,1.710869229908435,0.076780265765713,0.0001406938322581,
Fourth of July Creek,0.018,0.13,0.0515,0.679604,0.261740951207732,6.43258604119842,51.353574626957,0.0005,0.01,0.0261,0.004057466131481,7.63825835986078,1.1580034829551984,1.974201258977756,0.0672971274068106,0.0076502271290345,
Fourth of July Creek,0.018,0.13,0.0515,0.679604,0.261740951207732,6.43258604119842,51.353574626957,0.002,0.01,0.00124,0.000192768505863,0.2888394609278319,0.8132834844211109,1.710869229908435,0.076780265765713,0.0003634590666658,
Fourth of July Creek,0.018,0.13,0.0515,0.679604,0.261740951207732,6.43258604119842,51.353574626957,0.0005,0.01,0.07651,0.011894127728721,7.63825835986078,1.1580034829551984,1.974201258977756,0.0672971274068106,0.0224260106376416,
Fourth of July Creek,0.018,0.13,0.0515,0.7957034000000001,0.274842991474073,6.57619896138284,53.92419492721311,0.004,0.01,0.03176,0.00482953757733,0.1605899590867769,0.7448707595827047,1.6898369310243355,0.0896291097052964,0.0084626326574598,
