Stream,S,D84,D50,Q,h,w,tau,D,Fi,Qsi t/day,qsi,excess_grain_stress,gs_ratio,V_adj,h_adj,Wi_star
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.7617232,0.31891508455656,4.90850977584924,35.665549566298296,0.0005,0.01,0.03801,0.007743694468536,6.944901097178461,2.5491165015357873,2.0477629388022316,0.1001393223687429,0.02153842973886566
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.4190893,0.262314097885833,4.61967436021853,29.335634822964302,0.0005,0.01,0.0018100000000000002,0.00039180250789699997,4.72153223129896,1.8182393239264505,1.6347596886312734,0.07142759214516024,0.001460875428691896
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.33089,0.382755878712344,5.19454694636004,42.80512093991629,0.008,0.2,0.1494,0.028760929787089,0.10463604257389,1.688157036471471,1.8717009042945274,0.17501279518712054,0.0030420653730834505
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.33089,0.382755878712344,5.19454694636004,42.80512093991629,0.004,0.02,0.08423,0.0162150810975,0.208777454381808,2.0227441192681033,2.016136133006706,0.1645270862794024,0.01715081434905076
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.33089,0.382755878712344,5.19454694636004,42.80512093991629,0.002,0.01,0.06401,0.012322537588162999,0.41103793537426003,2.4226613487777455,2.171129336596035,0.15460682851373772,0.02606728306975503
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.33089,0.382755878712344,5.19454694636004,42.80512093991629,0.0005,0.01,0.5347,0.10293486718311001,9.769840803346039,3.471335866884804,2.5158475021864137,0.1363677263140877,0.21774998058738104
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.0703770000000001,0.356439565898671,5.08095359177158,39.862062412712,0.002,0.01,0.0038,0.000747891105747,0.35526979285926497,2.1523370636558528,2.0064611022498395,0.13735556043451375,0.001760507705901391
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.0703770000000001,0.356439565898671,5.08095359177158,39.862062412712,0.0005,0.01,0.11695,0.023017332846613,8.56806800725809,3.079855568567066,2.322951395048512,0.12098884042533649,0.054181941106634074
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.342219,0.383818256900419,5.19901798123831,42.9239309422015,0.008,0.2,0.02737,0.005264455729671999,0.10527645113433501,1.6957993113681082,1.8773454352997547,0.17580507686610725,0.0005545152062735727
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.342219,0.383818256900419,5.19901798123831,42.9239309422015,0.004,0.02,0.00765,0.0014714317256849998,0.209989430764242,2.0319629873315983,2.0222573235349657,0.16527693569774105,0.001549887222504069
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.342219,0.383818256900419,5.19901798123831,42.9239309422015,0.002,0.01,0.02737,0.005264455729671999,0.41333052615415505,2.4337739549481805,2.1777635002999305,0.15531600101009177,0.011090304125471453
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.342219,0.383818256900419,5.19901798123831,42.9239309422015,0.0005,0.01,0.37206,0.071563514752719,9.81938524270199,3.4874494898785593,2.5236270469815003,0.13700073280340583,0.15075844183132028
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.8098618000000001,0.325370183157816,4.93913565075698,36.387449063271205,0.004,0.02,0.008297762321426998,0.0016800029211900002,0.14583692470940302,1.544002639516418,1.683932118575602,0.1255869455100724,0.0022672104495893852
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.8098618000000001,0.325370183157816,4.93913565075698,36.387449063271205,0.002,0.01,0.038722890833324995,0.007840013632221,0.292154470786338,1.8463953473252177,1.8115084045431875,0.1178312969645935,0.021160630862836954
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.8098618000000001,0.325370183157816,4.93913565075698,36.387449063271205,0.0005,0.01,0.448079165357045,0.090720157744275,7.21612282529739,2.63796618852713,2.0950740243969825,0.10362968753747,0.24485872855569407
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.4445702959082539,0.26742617167120003,4.64743368027166,29.907338482677,0.0005,0.01,0.010707803992740999,0.002304025130729,4.91032415228395,1.8804793908096222,1.6718562812948217,0.07387262677504514,0.008345642402170882
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.376610505450942,0.253305259591571,4.569832982795809,28.328140401163804,0.0005,0.01,0.012522686025408002,0.00274029402662,4.394986736243291,1.7105018994579955,1.5695275007206195,0.067195242359058,0.010767360995086402
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.85190428996177,0.42642105922902296,5.3716848812844,47.688372737818604,0.002,0.01,0.011525163273146,0.002145539719447,0.50766626636106,2.891048297718466,2.442647434720783,0.18449784928289528,0.003859730777378438
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.85190428996177,0.42642105922902296,5.3716848812844,47.688372737818604,0.0005,0.01,0.14636957356895902,0.027248354436972003,11.8677747055708,4.151870782204254,2.8347565983875684,0.16310181446867053,0.04901858087269736
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.696587852187456,0.30972802336109995,4.864176213863071,34.6381237645653,0.002,0.01,0.0018440261237029998,0.000379103478704,0.261599481493413,1.6982927085533275,1.713295411989668,0.10837984008367625,0.0011017053013162538
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.696587852187456,0.30972802336109995,4.864176213863071,34.6381237645653,0.0005,0.01,0.12447176334998102,0.025589484812502006,6.56485245292032,2.4245091334878115,1.980473818437423,0.09524425484595253,0.07436510783879484
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.733399405351833,0.314987807685777,4.88966732537609,35.2263464847312,0.0005,0.01,0.030580762250454,0.00625416009219,6.781571286248241,2.4955811819807967,2.0189908802117076,0.09803624445143273,0.017721757903896664
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.07603001557412,0.35705404460883505,5.0836708222343,39.9307820247845,0.032,0.16,1.4029409606098997,0.27597006369371896,0.020448578398071,1.0494630523813513,1.4953516110407774,0.17674417441170515,0.04049668525514244
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.07603001557412,0.35705404460883505,5.0836708222343,39.9307820247845,0.008,0.2,0.025320458513680998,0.004980743128161999,0.089397085049118,1.5062728141309056,1.7347237051365643,0.15615669029607768,0.0005847114983362763
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.07603001557412,0.35705404460883505,5.0836708222343,39.9307820247845,0.004,0.02,0.023444868994148996,0.004611799192743,0.179951543547087,1.803487346048219,1.8676749243381552,0.1466930569025458,0.0054139953549660015
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.07603001557412,0.35705404460883505,5.0836708222343,39.9307820247845,0.002,0.01,0.054392096066427,0.010699374127163,0.356548791051488,2.158536758982211,2.010312259672004,0.1377512060053003,0.02512093844704046
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.07603001557412,0.35705404460883505,5.0836708222343,39.9307820247845,0.0005,0.01,0.37230451962709293,0.07323537118075299,8.5955544610499,3.088823064724089,2.327458308110559,0.12134111894535217,0.17194849247370647
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.07603001557412,0.35705404460883505,5.0836708222343,39.9307820247845,0.004,0.02,0.017844827586207,0.003510224837564,0.179951543547087,1.803487346048219,1.8676749243381552,0.1466930569025458,0.004120808424478344
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.07603001557412,0.35705404460883505,5.0836708222343,39.9307820247845,0.002,0.01,0.040385662431942,0.007944193053435,0.356548791051488,2.158536758982211,2.010312259672004,0.1377512060053003,0.018652080237114115
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.07603001557412,0.35705404460883505,5.0836708222343,39.9307820247845,0.0005,0.01,0.5052903811252271,0.099394787505763,8.5955544610499,3.088823064724089,2.327458308110559,0.12134111894535217,0.23336788761783428
